% Model:              Devoir2_V11.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 26 2022, 18:51
% Dimension:          1
% Nodes:              17
% Expressions:        1
% Description:        Température
% R                       T2 (K) @ t=10, N=17
0                         1.0405128245797917
0.03125                   1.061470866156869
0.0625                    1.1248835312044676
0.09375                   1.2323743103706273
0.125                     1.386677106569855
0.15625                   1.5916846636051187
0.1875                    1.8525283331432298
0.21875                   2.1756998309919178
0.25                      2.569227167895757
0.28125                   3.0429178726602446
0.3125                    3.6086832217730924
0.34375                   4.280957774972025
0.375                     5.077229418081405
0.40625                   6.018696628000894
0.4375                    7.131072053939825
0.46875                   8.445554978631922
0.5                       9.999999999999998
