% Model:              Devoir2_V11.mph
% Version:            COMSOL 5.6.0.401
% Date:               Oct 26 2022, 19:30
% Dimension:          1
% Nodes:              17
% Expressions:        1
% Description:        Température
% R                       T2 (K) @ t=1, delta_t=0.1
0                         1.1745222770131334E-6
0.03125                   2.0943007819368195E-6
0.0625                    6.972426137009337E-6
0.09375                   2.7220383017100085E-5
0.125                     1.1001523851479449E-4
0.15625                   4.417101843970161E-4
0.1875                    0.0017216758204794615
0.21875                   0.006397129640610065
0.25                      0.022272142340711627
0.28125                   0.07141270278030076
0.3125                    0.20733191572812854
0.34375                   0.5369586461852647
0.375                     1.2276736165829387
0.40625                   2.469357451392349
0.4375                    4.387867299868681
0.46875                   6.960263324948917
0.5                       9.999999999999998
